r,z,B
0.000225,-0.29850000000000004,-1.3383742879045062e-05
0.000225,-0.29550000000000004,-0.0014971273121098625
0.000225,-0.29250000000000004,0.9889564640863022
0.000225,-0.28950000000000004,0.9883956555580562
0.000225,-0.28650000000000003,0.9878294586704084
0.000225,-0.28350000000000003,0.987212927739926
0.000225,-0.2805,0.9865591817792784
0.000225,-0.2775,0.9858533470978348
0.000225,-0.2745,0.9851010607530144
0.000225,-0.2715,0.984286257113572
0.000225,-0.2685,0.9834155110970132
0.000225,-0.2655,0.9824686130534824
0.000225,-0.2625,0.9814547764114344
0.000225,-0.2595,0.9803464223612384
0.000225,-0.2565,0.9791579599584692
0.000225,-0.2535,0.9778504211298072
0.000225,-0.2505,0.9764460849384562
0.000225,-0.2475,0.9748906036319642
0.000225,-0.2445,0.9732168224994364
0.000225,-0.2415,0.9713495297472288
0.000225,-0.2385,0.9693366068614612
0.000225,-0.2355,0.9670722329546706
0.000225,-0.2325,0.9646254935710604
0.000225,-0.2295,0.961849361151
0.000225,-0.2265,0.9588423632932996
0.000225,-0.2235,0.955396444078588
0.000225,-0.2205,0.9516449572182668
0.000225,-0.2175,0.9473151033714896
0.000225,-0.2145,0.9425485042408488
0.000225,-0.2115,0.9370086237265748
0.000225,-0.2085,0.9309061065496709
0.000225,-0.2055,0.9235904984887298
0.000225,-0.2025,0.915772462035248
0.000225,-0.1995,0.9062627038397872
0.000225,-0.1965,0.8955962006277114
0.000225,-0.1935,0.8833905402184431
0.000225,-0.1905,0.8690525763230359
0.000225,-0.1875,0.8523759313633399
0.000225,-0.1845,0.8330351025435605
0.000225,-0.1815,0.8105419316642357
0.000225,-0.1785,0.7843774821512627
0.000225,-0.1755,0.7540135750923352
0.000225,-0.1725,0.7189618617990863
0.000225,-0.16949999999999998,0.6788602171002927
0.000225,-0.16649999999999998,0.6335607508122542
0.000225,-0.16349999999999998,0.5834308899590601
0.000225,-0.16049999999999998,0.5289357492793063
0.000225,-0.15749999999999995,0.4714921203163622
0.000225,-0.1545,0.4129980122589687
0.000225,-0.15149999999999994,0.35598408886592936
0.000225,-0.1485,0.3026543127807515
0.000225,-0.14549999999999996,0.2549996224987976
0.000225,-0.1425,0.2142737425051806
0.000225,-0.13949999999999996,0.18088584416953932
0.000225,-0.13649999999999998,0.15451830857578164
0.000225,-0.13349999999999995,0.13435063445053766
0.000225,-0.1305,0.11933137882297963
0.000225,-0.1275,0.10838347907419243
0.000225,-0.1245,0.1005376188920838
0.000225,-0.12149999999999997,0.09498645641136427
0.000225,-0.11849999999999998,0.09109504845019477
0.000225,-0.11549999999999998,0.08838735019395673
0.000225,-0.11249999999999998,0.08651347507135054
0.000225,-0.10949999999999996,0.08522122948245703
0.000225,-0.10649999999999996,0.08433318018758862
0.000225,-0.10349999999999997,0.08372420202833175
0.000225,-0.10049999999999996,0.0833071519712345
0.000225,-0.09749999999999996,0.08302165138378792
0.000225,-0.09449999999999996,0.08282663930270973
0.000225,-0.0915,0.08269355758465767
0.000225,-0.08849999999999998,0.08260287570398606
0.000225,-0.08549999999999999,0.08254102126723427
0.000225,-0.08249999999999996,0.08249880965196077
0.000225,-0.07949999999999999,0.08246992716043901
0.000225,-0.07649999999999996,0.08245033305441862
0.000225,-0.07349999999999997,0.08243699084025269
0.000225,-0.07049999999999995,0.08242787997297141
0.000225,-0.06749999999999998,0.08242163521952839
0.000225,-0.06449999999999995,0.08241733927892936
0.000225,-0.06149999999999998,0.08241437664765107
0.000225,-0.05849999999999994,0.08241232615409723
0.000225,-0.05549999999999998,0.08241089871208218
0.000225,-0.052499999999999984,0.08240993361932558
0.000225,-0.04949999999999999,0.08240926723551079
0.000225,-0.04649999999999999,0.08240879386951794
0.000225,-0.04349999999999998,0.0824084278270264
0.000225,-0.04049999999999998,0.0824081301409707
0.000225,-0.03749999999999995,0.08240787970251406
0.000225,-0.03449999999999995,0.0824076752681211
0.000225,-0.031499999999999945,0.08240752645718141
0.000225,-0.028499999999999942,0.08240744354837504
0.000225,-0.02549999999999994,0.08240742924644562
0.000225,-0.022499999999999937,0.08240747426597306
0.000225,-0.01949999999999993,0.08240755818520717
0.000225,-0.016500000000000015,0.08240765478904644
0.000225,-0.013499999999999956,0.08240774021003594
0.000225,-0.01050000000000001,0.0824077999638273
0.000225,-0.007499999999999951,0.08240783094366266
0.000225,-0.004500000000000004,0.08240784052337148
0.000225,-0.0014999999999999456,0.0824078408716904
0.000225,0.0014999999999999734,0.0824078408413571
0.000225,0.004499999999999975,0.08240784046027816
0.000225,0.00749999999999998,0.08240783096423188
